央视频道,#genre#
CCTV1,rtsp://10.11.43.21/PLTV/88888912/224/3221226446/10000100000000060000000000870185_0.smil
CCTV2,rtsp://10.11.43.21/PLTV/88888912/224/3221226445/10000100000000060000000000870187_0.smil
CCTV3,rtsp://10.11.43.21/PLTV/88888912/224/3221226422/10000100000000060000000000808184_0.smil
CCTV4,rtsp://10.11.43.21/PLTV/88888912/224/3221226450/10000100000000060000000000870191_0.smil
CCTV5,rtsp://10.11.43.21/PLTV/88888912/224/3221226423/10000100000000060000000000808427_0.smil
CCTV6,rtsp://10.11.43.21/PLTV/88888912/224/3221226426/10000100000000060000000000808425_0.smil
CCTV7,rtsp://10.11.43.21/PLTV/88888912/224/3221226452/10000100000000060000000000870192_0.smil
CCTV8,rtsp://10.11.43.21/PLTV/88888912/224/3221226444/10000100000000060000000000808423_0.smil
CCTV9,rtsp://10.11.43.21/PLTV/88888912/224/3221226443/10000100000000060000000000870186_0.smil
CCTV10,rtsp://10.11.43.21/PLTV/88888912/224/3221226454/10000100000000060000000000870188_0.smil
CCTV11,rtsp://10.11.43.21/PLTV/88888912/224/3221226102/10000100000000060000000000719622_0.smil
CCTV12,rtsp://10.11.43.21/PLTV/88888912/224/3221226447/10000100000000060000000000870190_0.smil
CCTV13,rtsp://10.11.43.21/PLTV/88888912/224/3221226678/382484600.smil
CCTV14,rtsp://10.11.43.21/PLTV/88888912/224/3221226456/10000100000000060000000000870189_0.smil
CCTV15,rtsp://10.11.43.21/PLTV/88888912/224/3221226103/10000100000000060000000000719621_0.smil
CCTV16,rtsp://10.11.43.21/PLTV/88888912/224/3221226635/404077257.smil
CCTV17,rtsp://10.11.43.21/PLTV/88888912/224/3221226654/394801661.smil
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV欧,rtsp://10.11.43.21/PLTV/88888912/224/3221226638/394108021.smil
CCTV美,rtsp://10.11.43.21/PLTV/88888912/224/3221226642/394108651.smil
CCTV5+,rtsp://10.11.43.21/PLTV/88888912/224/3221226077/10000100000000060000000000662662_0.smil
CETV1,rtsp://10.11.43.21/PLTV/88888912/224/3221226508/10000100000000060000000001119243_0.smil
CETV2,rtsp://10.11.43.21/PLTV/88888912/224/3221226050/10000100000000060000000000660100_0.smil
CETV4,rtsp://10.11.43.21/PLTV/88888912/224/3221226437/10000100000000060000000000834035_0.smil
卫视频道,#genre#
北京卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226462/10000100000000060000000000871722_0.smil
